timestamp,n_samples,n_features,hidden_layer_sizes,classes,activation,solver,iterations,train_score,test_score
2022-03-24T00:31:01.876284,5000,20,"(200, 200)",7,relu,adam,124,1.0,0.8544
2022-03-24T00:31:32.339920,5000,20,"(500, 500)",7,relu,adam,75,1.0,0.868
2022-03-24T00:31:38.998484,1000,50,"(100, 100)",2,relu,adam,97,1.0,0.9
2022-03-24T00:31:46.462253,1000,50,"(200, 200)",2,relu,adam,75,1.0,0.908
2022-03-24T00:31:56.545112,1000,50,"(500, 500)",2,relu,adam,62,1.0,0.908
2022-03-24T00:32:03.431922,2000,50,"(100, 100)",2,relu,adam,80,1.0,0.942
2022-03-24T00:32:11.181982,2000,50,"(200, 200)",2,relu,adam,61,1.0,0.944
2022-03-24T00:32:24.129774,2000,50,"(500, 500)",2,relu,adam,50,1.0,0.954
2022-03-24T00:32:32.297386,5000,50,"(100, 100)",2,relu,adam,57,1.0,0.9648
2022-03-24T00:32:41.758148,5000,50,"(200, 200)",2,relu,adam,45,1.0,0.9704
2022-03-24T00:32:59.720332,5000,50,"(500, 500)",2,relu,adam,38,1.0,0.9768
2022-03-24T00:33:06.304751,1000,50,"(100, 100)",3,relu,adam,128,1.0,0.852
2022-03-24T00:33:13.552490,1000,50,"(200, 200)",3,relu,adam,90,1.0,0.852
2022-03-24T00:33:23.842524,1000,50,"(500, 500)",3,relu,adam,66,1.0,0.868
2022-03-24T00:33:30.877793,2000,50,"(100, 100)",3,relu,adam,101,1.0,0.872
2022-03-24T00:33:39.337776,2000,50,"(200, 200)",3,relu,adam,68,1.0,0.874
2022-03-24T00:33:52.452449,2000,50,"(500, 500)",3,relu,adam,52,1.0,0.912
2022-03-24T00:34:01.329772,5000,50,"(100, 100)",3,relu,adam,78,1.0,0.9296
2022-03-24T00:34:11.238967,5000,50,"(200, 200)",3,relu,adam,56,1.0,0.9376
2022-03-24T00:34:31.590411,5000,50,"(500, 500)",3,relu,adam,43,1.0,0.9528
2022-03-24T00:34:38.575018,1000,50,"(100, 100)",7,relu,adam,160,1.0,0.536
2022-03-24T00:34:46.067944,1000,50,"(200, 200)",7,relu,adam,114,1.0,0.62
2022-03-24T00:34:57.687367,1000,50,"(500, 500)",7,relu,adam,78,1.0,0.62
2022-03-24T00:35:05.567843,2000,50,"(100, 100)",7,relu,adam,143,1.0,0.666
2022-03-24T00:35:14.616318,2000,50,"(200, 200)",7,relu,adam,102,1.0,0.71
2022-03-24T00:35:29.492879,2000,50,"(500, 500)",7,relu,adam,66,1.0,0.756
