timestamp,n_samples,n_features,hidden_layer_sizes,classes,activation,solver,iterations,train_score,test_score
2022-03-23T15:03:41.386756,2000,50,"(100, 100)",7,relu,adam,143,1.0,0.666
2022-03-23T15:03:51.558632,2000,50,"(200, 200)",7,relu,adam,102,1.0,0.71
2022-03-23T15:04:05.817042,2000,50,"(500, 500)",7,relu,adam,66,1.0,0.756
2022-03-23T15:04:18.072082,5000,50,"(100, 100)",7,relu,adam,122,1.0,0.7696
2022-03-23T15:04:32.775271,5000,50,"(200, 200)",7,relu,adam,80,1.0,0.8168
2022-03-23T15:04:55.608323,5000,50,"(500, 500)",7,relu,adam,55,1.0,0.8632
2022-03-23T15:05:02.295817,1000,100,"(100, 100)",2,relu,adam,85,1.0,0.856
2022-03-23T15:05:09.592693,1000,100,"(200, 200)",2,relu,adam,70,1.0,0.816
2022-03-23T15:05:18.561483,1000,100,"(500, 500)",2,relu,adam,54,1.0,0.852
2022-03-23T15:05:26.311444,2000,100,"(100, 100)",2,relu,adam,78,1.0,0.916
2022-03-23T15:05:34.530229,2000,100,"(200, 200)",2,relu,adam,57,1.0,0.932
2022-03-23T15:05:46.592762,2000,100,"(500, 500)",2,relu,adam,50,1.0,0.934
2022-03-23T15:05:56.623944,5000,100,"(100, 100)",2,relu,adam,63,1.0,0.9416
2022-03-23T15:06:06.941625,5000,100,"(200, 200)",2,relu,adam,46,1.0,0.9392
2022-03-23T15:06:26.293706,5000,100,"(500, 500)",2,relu,adam,42,1.0,0.9592
2022-03-23T15:06:33.220592,1000,100,"(100, 100)",3,relu,adam,108,1.0,0.684
2022-03-23T15:06:40.595592,1000,100,"(200, 200)",3,relu,adam,82,1.0,0.712
2022-03-23T15:06:49.695758,1000,100,"(500, 500)",3,relu,adam,56,1.0,0.728
2022-03-23T15:06:57.295513,2000,100,"(100, 100)",3,relu,adam,95,1.0,0.83
2022-03-23T15:07:05.998704,2000,100,"(200, 200)",3,relu,adam,72,1.0,0.826
2022-03-23T15:07:19.316556,2000,100,"(500, 500)",3,relu,adam,55,1.0,0.856
2022-03-23T15:07:29.254058,5000,100,"(100, 100)",3,relu,adam,74,1.0,0.8752
2022-03-23T15:07:40.254371,5000,100,"(200, 200)",3,relu,adam,54,1.0,0.8896
2022-03-23T15:08:00.395449,5000,100,"(500, 500)",3,relu,adam,45,1.0,0.92
2022-03-23T15:08:07.822352,1000,100,"(100, 100)",7,relu,adam,146,1.0,0.376
2022-03-23T15:08:15.280613,1000,100,"(200, 200)",7,relu,adam,96,1.0,0.424
2022-03-23T15:08:25.280578,1000,100,"(500, 500)",7,relu,adam,62,1.0,0.46
