timestamp,n_samples,n_features,classes,activation,solver,iterations,train_score,test_score,system,layers,layer_size,energy,avg_iteration_energy,cost
2022-03-23T15:13:46.179309,2000,20,7,relu,adam,121,1.0,0.746,Dyon,3,100,168.399353,1.3917301900826446,2.4788929769026784
2022-03-23T15:13:57.460606,2000,20,7,relu,adam,84,1.0,0.74,Dyon,3,200,204.639099,2.43617975,3.012353766648925
2022-03-23T15:14:14.773969,2000,20,7,relu,adam,53,1.0,0.792,Dyon,3,500,398.259705,7.514334056603774,5.862511750314341
2022-03-23T15:14:29.446193,5000,20,7,relu,adam,111,1.0,0.8312,Dyon,3,100,353.3526,3.1833567567567567,5.201464630985259
2022-03-23T15:14:45.852601,5000,20,7,relu,adam,70,1.0,0.8512,Dyon,3,200,389.703064,5.567186628571428,5.736555225524263
2022-03-23T15:15:15.540918,5000,20,7,relu,adam,46,1.0,0.86,Dyon,3,500,816.766602,17.755795695652175,12.023068719667025
2022-03-23T15:15:22.426012,1000,50,2,relu,adam,69,1.0,0.864,Dyon,3,100,69.94519,1.0136984057971015,1.0296158338513537
2022-03-23T15:15:29.379120,1000,50,2,relu,adam,45,1.0,0.884,Dyon,3,200,67.837708,1.5075046222222224,0.9985930167461788
2022-03-23T15:15:38.941602,1000,50,2,relu,adam,35,1.0,0.908,Dyon,3,500,145.184937,4.1481410571428565,2.1371692602723824
2022-03-23T15:15:47.441636,2000,50,2,relu,adam,56,1.0,0.932,Dyon,3,100,99.928162,1.7844314642857142,1.470974885376152
2022-03-23T15:15:55.478870,2000,50,2,relu,adam,39,1.0,0.936,Dyon,3,200,102.022339,2.6159574102564105,1.5018018485752986
2022-03-23T15:16:07.015387,2000,50,2,relu,adam,27,1.0,0.95,Dyon,3,500,216.501343,8.01856825925926,3.186969837423888
2022-03-23T15:16:17.468452,5000,50,2,relu,adam,43,1.0,0.9632,Dyon,3,100,166.67926,3.8762618604651164,2.4535726512520246
